Date,Description,Amount
2025-10-01,Salary,30000
2025-10-03,Swiggy,-650
2025-10-05,Uber,-320
2025-10-08,Amazon,-2500
2025-10-12,Zomato,-700
2025-10-20,Electricity Bill,-1500
2025-10-25,Freelance,5000

2025-11-01,Salary,30000
2025-11-04,Swiggy,-850
2025-11-07,Uber,-450
2025-11-10,Amazon,-4000
2025-11-18,Zomato,-900
2025-11-21,Medical Expense,-6000
2025-11-26,Freelance,6000

2025-12-01,Salary,30000
2025-12-05,Swiggy,-1200
2025-12-09,Uber,-500
2025-12-15,Amazon,-7000
2025-12-20,Zomato,-1100
2025-12-24,Travel Booking,-12000
2025-12-28,Freelance,8000

2026-01-01,Salary,32000
2026-01-06,Swiggy,-900
2026-01-08,Uber,-450
2026-01-12,Amazon,-3500
2026-01-16,Zomato,-1000
2026-01-21,Insurance Premium,-5000
2026-01-27,Freelance,7000

2026-02-01,Salary,32000
2026-02-05,Swiggy,-750
2026-02-07,Uber,-400
2026-02-13,Amazon,-2800
2026-02-19,Zomato,-850
2026-02-23,Medical Emergency,-10000
2026-02-26,Freelance,9000

2026-03-01,Salary,35000
2026-03-04,Swiggy,-650
2026-03-08,Uber,-350
2026-03-14,Amazon,-3000
2026-03-20,Zomato,-750
2026-03-22,Gadget Purchase,-15000
2026-03-28,Freelance,10000
